date,sp500 open,sp500 high,sp500 low,sp500 close,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq high-low,usd_chf,silver open,silver high,silver low,silver close,silver volume,oil high-low,gold open,gold high,gold low,gold close,standard__sp500 open,standard__sp500 high,standard__sp500 low,standard__sp500 close,standard__nasdaq open,standard__nasdaq high,standard__nasdaq low,standard__nasdaq close,standard__nasdaq high-low,standard__usd_chf,standard__silver open,standard__silver high,standard__silver low,standard__silver close,standard__silver volume,standard__oil high-low,standard__gold open,standard__gold high,standard__gold low,standard__gold close
2013-05-01,159.33,159.41,158.1,158.28,70.71,70.85,70.25,70.39,0.5999999999999943,0.9268,23.22,23.68,23.01,23.4015,487090.0,0.4400000000000048,140.59,141.55,139.3001,141.11,-0.8538483745502002,-0.8547762826237963,-0.8486256152883733,-0.8522983134633174,-0.8841475940614142,-0.8829889783288073,-0.8802199069640871,-0.8802635593677455,-0.7444425988544121,0.3995937905116351,-0.3814796925158963,-0.3821675733359571,-0.3775651168400231,-0.398254223469562,-0.5573340166327663,-0.2589581571672169,-0.8224513724408686,-0.7995713860529037,-0.8229599605810084,-0.8289579572181343
2013-05-02,158.68,159.89,158.53,159.75,70.51,71.43,70.45,71.28,0.980000000000004,0.9348,23.72,23.81,23.48,23.56,172455.0,1.0349999999999966,142.0,142.47,141.642,141.92,-0.8361819591775791,-0.8395033007732309,-0.8440582732463172,-0.833726147387581,-0.8735920060395855,-0.8715377474589006,-0.8697389487138724,-0.8683166203892052,-0.6939739082067592,0.04381656882335088,-0.25801153488948825,-0.2596398598580922,-0.2533269300471028,-0.2346084310476444,-0.4063872684043654,-0.4074891139039378,-0.7168504682577885,-0.7315027603481886,-0.7245617418460871,-0.7172753008636518
2013-05-03,161.14,161.88,159.78,161.37,71.94,72.34,71.91,72.12,0.4300000000000068,0.934,23.65,24.11,23.58,23.82,317804.0,0.4200000000000017,141.7,142.71,141.4,142.09,-0.8338704655774233,-0.8368756909924885,-0.8278649696426641,-0.8331483466652247,-0.8676186887869228,-0.868938886552255,-0.8650348965858233,-0.8656162848666585,-0.7840965700775676,-0.009741292506068866,-0.28046029082156254,-0.2959935416175206,-0.2696598618284069,-0.2779264349240343,-0.4836808868518909,-0.3776045069929463,-0.7419773715039236,-0.7336985224676954,-0.7296866490718644,-0.7210093714408533
2013-05-06,161.49,162.01,161.42,161.78,72.25,72.51,72.19,72.4,0.3200000000000074,0.9393,23.79,23.82,23.62,23.74,140585.0,0.5009999999999977,142.33,142.465,141.63,142.15,-0.8290823716913858,-0.8330985019326714,-0.823297627600608,-0.8278655972036818,-0.8648365958199292,-0.8675582416955996,-0.8621464435247403,-0.8642252029308011,-0.8489848866245521,0.06676993796453017,-0.29008118622102275,-0.2896711621810984,-0.26328364221408385,-0.2683002118403923,-0.6678137113040793,-0.5114161797287384,-0.7229624176960378,-0.7306582364560703,-0.7119203040225033,-0.719312066633034
2013-05-07,162.13,162.65,161.67,162.6,72.5,72.57,72.09,72.36,0.4799999999999897,0.9402,23.34,23.701,23.24,23.6762,198742.0,0.4650000000000034,140.38,140.64,139.37,140.38,-0.8266883247483671,-0.8333448403496159,-0.8283632251381612,-0.833065803704888,-0.8633637230726973,-0.8669897408722709,-0.8620639162944237,-0.8650434864224819,-0.8273554477755573,-0.12450813821196742,-0.2708393954221024,-0.2817681878855704,-0.24840579644733043,-0.2602783592706903,-0.6413704706801876,-0.6154919251899066,-0.699872830929319,-0.7029578527945984,-0.6951789404182981,-0.6952103383620061
2013-05-08,162.42,163.39,162.33,163.34,72.31,72.77,72.2,72.71,0.5699999999999932,0.9349,23.62,23.74,23.4219,23.65,162038.0,0.3500000000000014,141.78,142.81,141.49,142.46,-0.8275138581769942,-0.8323594866818377,-0.822882414687694,-0.8295164564104142,-0.8628727654902868,-0.8657715248222808,-0.8606609533790407,-0.8634887477882883,-0.8345652607252204,-0.0862525229766679,-0.25640805232291186,-0.269123429012726,-0.3546597740716486,-0.370979924732576,-0.5666731852971842,-0.5708880342779654,-0.690365354025376,-0.6864051845090843,-0.7498446174932543,-0.7485057093275194
2013-05-09,163.27,163.7,162.47,162.88,72.55,73.099,72.47,72.6065,0.6290000000000049,0.9406,23.5,23.7,23.3,23.44,154954.0,0.3799999999999954,141.33,142.36,140.51,140.81,-0.8262755580340534,-0.8258725750356296,-0.8189794133063006,-0.8219225040594462,-0.8633637230726973,-0.8657715248222808,-0.8614862256822072,-0.8650434864224819,-0.7985161959768992,-0.009741292506068866,-0.34941004118436186,-0.36092437842957814,-0.35958090767142037,-0.36135370164893343,-0.5729039830537289,-0.31813265244370886,-0.7219437594563295,-0.7262667122170566,-0.7139702669128143,-0.7250829029796183
2013-05-10,162.99,163.55,162.51,163.41,72.73,73.08,72.63,73.05,0.4500000000000028,0.9594,23.04,23.56,22.921,23.53,274901.0,1.0,138.22,139.75,137.26,139.6,-0.8245419378339364,-0.8262010262582226,-0.8180659448978893,-0.8194462152493481,-0.8700734766989761,-0.873892965155548,-0.8687486219500725,-0.8714260976575924,-0.8417750736748888,-0.13789760354432076,-0.3413926283514781,-0.36079793084084943,-0.32998870894853805,-0.3388925144537688,-0.6027065935283131,-0.19918894334523396,-0.6954586452239171,-0.6958638521008066,-0.6842458050033066,-0.6877421972076031
2013-05-13,163.2,163.81,162.82,163.54,72.93,73.32,72.86,73.14,0.4599999999999937,0.9576,23.51,23.55,23.35,23.37,127595.0,0.4200000000000017,138.46,138.966,138.16,138.43,-0.8171946903191549,-0.8220132731701643,-0.8122529641170908,-0.8167222975582401,-0.8688460827429494,-0.8719438194755639,-0.8670155501134229,-0.8696258739758945,-0.8309603542503863,-0.22205995706198098,-0.22273491842480042,-0.19625800600795842,-0.1977230251539955,-0.18808168614337384,-0.438754084078791,-0.3328519364446481,-0.6017420871707654,-0.5593887911345291,-0.5837976233780743,-0.5611232585443141
2013-05-14,163.67,165.35,163.67,165.23,73.13,73.74,73.13,73.52,0.6099999999999994,0.9602,23.08,23.4,23.08,23.13,152882.0,0.4799999999999969,137.95,139.16,137.64,137.81,-0.8139751099475089,-0.8212742579193304,-0.8119207937867593,-0.819693844130358,-0.8681914726330685,-0.8721062482822293,-0.8701515848654556,-0.8741264331801392,-0.7011837211564276,-0.20101936868256645,-0.22433840099137684,-0.21222201408492464,-0.20426273757894184,-0.18968605665731444,-0.5768376384855919,-0.4073404342675704,-0.56608904878098,-0.5364211193644864,-0.5578314267674703,-0.5315901548882653
2013-05-15,164.96,166.45,164.91,166.12,73.38,73.74,73.2,73.67,0.539999999999992,0.968,22.69,22.7699,22.25,22.26,873217.0,0.7999999999999972,136.59,136.98,134.23,134.63,-0.8140576632903718,-0.8210279195023857,-0.8191454984714661,-0.8248115076712274,-0.8678641675781282,-0.8716189618622332,-0.8690787308713392,-0.8721625528001052,-0.7264180664802514,-0.22779829934727525,-0.21632098815849363,-0.23909212668971977,-0.23696129970367408,-0.24102591310340574,-0.6369328093711436,0.023830511214409104,-0.5501300696922188,-0.561419026571181,-0.6082946799172891,-0.6072899493169878
